Eingegangen am;Mangel Nr.;Typ;Status
04.06.2018 12:36:27;359;Sonstige Mängel;Behoben
05.06.2018 07:51:18;360;Sonstige Mängel;Abgelehnt
05.06.2018 11:02:45;361;Abgestellte Autos ohne Kennzeichen;Behoben
06.06.2018 08:31:19;362;Defekte Straßenbeleuchtung;Behoben
06.06.2018 13:08:04;363;Parkverstöße;Behoben
06.06.2018 15:53:04;364;Sonstige Mängel;Behoben
07.06.2018 11:02:36;365;Sonstige Mängel;Abgelehnt
07.06.2018 15:10:24;366;Parkverstöße;Behoben
07.06.2018 16:57:04;367;Parkverstöße;Behoben
07.06.2018 18:54:15;368;Sonstige Mängel;Behoben
07.06.2018 22:12:15;369;Straßenschäden;Abgelehnt
08.06.2018 08:09:37;370;Parkverstöße;Behoben
08.06.2018 13:18:29;371;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
08.06.2018 16:36:28;372;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
08.06.2018 18:14:47;373;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
09.06.2018 23:54:46;374;Parkverstöße;Behoben
10.06.2018 11:11:51;375;Sonstige Mängel;Behoben
10.06.2018 11:30:07;376;Parkverstöße;Behoben
10.06.2018 19:28:21;377;Defekte Ampelanlagen oder Verkehrsschilder;Abgelehnt
11.06.2018 10:26:00;378;Parkverstöße;Behoben
11.06.2018 21:41:50;379;Defekte Straßenbeleuchtung;Behoben
12.06.2018 09:19:29;380;Sonstige Mängel;In Bearbeitung
12.06.2018 14:50:39;381;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
13.06.2018 15:05:34;382;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
13.06.2018 17:12:14;383;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
14.06.2018 09:03:35;384;Sonstige Mängel;Behoben
14.06.2018 21:28:19;385;Parkverstöße;Behoben
15.06.2018 10:50:23;386;Sonstige Mängel;Behoben
17.06.2018 21:03:53;387;Straßen- und Gehwegverunreinigung;Behoben
18.06.2018 15:15:05;388;Parkverstöße;Behoben
18.06.2018 16:49:53;389;Abgestellte Autos ohne Kennzeichen;Behoben
18.06.2018 20:06:16;390;Parkverstöße;Behoben
18.06.2018 21:20:29;391;Parkverstöße;Behoben
18.06.2018 21:32:36;392;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
19.06.2018 17:25:12;393;Parkverstöße;Behoben
19.06.2018 20:47:47;394;Lärm- oder Geruchsbelästigung;Abgelehnt
20.06.2018 10:31:45;395;Parkverstöße;Behoben
20.06.2018 11:47:00;396;Parkverstöße;Behoben
20.06.2018 13:35:14;397;Straßenschäden;Abgelehnt
22.06.2018 09:03:18;398;Sonstige Mängel;Behoben
22.06.2018 12:01:02;399;Straßenschäden;Behoben
22.06.2018 18:55:21;400;Sonstige Mängel;In Bearbeitung
23.06.2018 18:54:55;401;Sonstige Mängel;Behoben
25.06.2018 10:37:37;402;Defekte Ampelanlagen oder Verkehrsschilder;In Bearbeitung
25.06.2018 10:54:15;403;Defekte Ampelanlagen oder Verkehrsschilder;In Bearbeitung
25.06.2018 13:07:33;404;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
